n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_dstart_ms,mean_dend_ms,recall_q1,f1_q1,recall_q2,f1_q2,recall_q3,f1_q3,tape,model,variant
1,157,1,156,0,0.006369426751592357,1.0,0.012658227848101266,341.0000000001219,378.00000000015643,,,,,1.0,1.0,7919_20250203.wav,v1_random,len500_hop050_th60
1,577,0,577,1,0.0,0.0,0.0,,,0.0,,,,,,PINK_20250203.wav,v1_random,len500_hop050_th60
37,493,7,486,30,0.014198782961460446,0.1891891891891892,0.026415094339622643,330.42857142857986,351.1428571428569,0.14285714285714285,0.19047619047619047,0.2,0.29629629629629634,0.3333333333333333,0.2,TINA_20250203_v2.wav,v1_random,len500_hop050_th60
52,0,0,0,52,0.0,0.0,0.0,,,,,0.0,,0.0,,UNKN_20250203_05.23.wav,v1_random,len500_hop050_th60
0,1073,0,1073,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250203_05.wav,v1_random,len500_hop050_th60
16,767,1,766,15,0.001303780964797914,0.0625,0.002554278416347382,1223.0000000000132,168.00000000000637,0.0,,0.0,,1.0,1.0,UNKN_20250205.wav,v1_random,len500_hop050_th60
1,872,0,872,1,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_(1).wav,v1_random,len500_hop050_th60
3,864,0,864,3,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_2nd_obs.wav,v1_random,len500_hop050_th60
57,818,10,808,47,0.012224938875305624,0.17543859649122806,0.022857142857142857,300.19999999997253,539.9999999999864,0.0,,0.14634146341463414,0.23529411764705882,0.2857142857142857,0.3333333333333333,UNKN_20250205_3nd_obs.wav,v1_random,len500_hop050_th60
0,426,0,426,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250209.wav,v1_random,len500_hop050_th60
5,821,0,821,5,0.0,0.0,0.0,,,,,0.0,,,,x_20250205_2nd_obs.wav,v1_random,len500_hop050_th60
